k,features,R2,Q2,RMSE,sampled
4,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_C2|sum_enthalpy_hartree,0.9675483973521983,0.9274400232384726,0.3351744838691496,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_-O|Ar2_NBO_-O|Ar2_I_C=O,0.973290295659404,0.9274367423428909,0.3040796906762237,0
5,Ar1_LUMO|Ar2_v_C=O|Ar1_HOMO|Ar2_I_C=O|sum_enthalpy_hartree,0.9843407015941299,0.9273842003916457,0.2328300463184098,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Entry|Ar2_I_C=O,0.9762414727412778,0.927371419449685,0.28678909436674516,0
4,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Ar2_I_C=O,0.9694920925867082,0.9269400283649816,0.3249818333092226,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar1_NBO_C2|Ar1_I_C=O,0.9708518570481414,0.9268761735212079,0.3176569194083561,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|Ar1_NBO_C2|sum_enthalpy_hartree,0.9785014708189904,0.9268022556309659,0.2728080924210809,0
5,Ar2_LUMO|prod_homo_hartree|Ar1_NBO_C2|Entry|Ar1_I_C=O,0.9700304130529364,0.9267481345746744,0.3221018751745281,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar2_NBO_C2|Ar2_I_C=O,0.9689894850065319,0.9266417500036502,0.32764788115815824,0
5,Ar1_LUMO|Ar2_v_C=O|Ar1_NBO_=O|Ar1_NBO_-O|Ar2_I_C=O,0.9733367825324403,0.9266032302715713,0.30381495787025686,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_I_C=O|ar2_enthalpy_hartree,0.9807576695920748,0.926464601602317,0.2580962581678737,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar2_I_C=O|ar2_enthalpy_hartree,0.9825939894332578,0.9264246393760833,0.24547230229147826,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Entry|Ar1_I_C=O,0.9748129114814634,0.9259422540887613,0.2952853213549651,0
5,Ar2_LUMO|Ar2_v_C=O|Ar2_NBO_C2|Ar2_I_C=O|Ar1_I_C=O,0.9705337229461072,0.9259225800340766,0.31938573020139865,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_I_C=O|sum_enthalpy_hartree,0.97479395013022,0.9258712880325523,0.29539644883454175,0
5,Ar2_LUMO|Ar1_v_C=O|Ar1_NBO_=O|Ar2_NBO_C2|ar2_enthalpy_hartree,0.9787784270315952,0.9258207871190423,0.2710451621759361,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar1_NBO_C2|Ar2_I_C=O,0.9699302418512291,0.9257659632234828,0.322639727360946,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Entry|Ar1_I_C=O,0.9753000956688174,0.9254296475562289,0.2924155811968956,0
4,Ar2_LUMO|prod_homo_hartree|Ar1_v_C=O|ar2_enthalpy_hartree,0.9699555792180676,0.9254002674388015,0.322503767439277,0
5,Ar2_LUMO|prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2,0.9759019519118902,0.9251921882527333,0.2888310026162887,0
4,Ar2_LUMO|sum_homo_hartree|Ar1_v_C=O|ar2_enthalpy_hartree,0.9699053032934611,0.9249071493927784,0.3227734913547294,0
5,Ar2_v_C=O|Ar1_NBO_=O|Ar1_NBO_-O|Ar2_NBO_C2|Ar2_I_C=O,0.9706200624868326,0.9248395295976845,0.3189174686904365,0
4,Ar1_v_C=O|Ar2_NBO_-O|ar2_enthalpy_hartree|Ar1_I_C=O,0.9665290360423443,0.9247936090064983,0.34039798809014654,0
5,Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_=O|Ar2_NBO_-O|Ar2_I_C=O,0.9752640559751848,0.9246972657446298,0.2926288355967428,0
4,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Ar1_I_C=O,0.9687336445578895,0.9246472206212459,0.3289966720070925,0
5,Ar1_v_C=O|Ar1_NBO_=O|Ar1_NBO_-O|Ar2_NBO_C2|Ar1_I_C=O,0.9681391653214981,0.9246174697447487,0.3321096148900211,0
4,Ar2_LUMO|Ar1_v_C=O|Ar2_v_C=O|Ar1_I_C=O,0.9679896733203313,0.9245702094243857,0.33288783728279187,0
5,Ar2_LUMO|prod_homo_hartree|Ar1_v_C=O|Ar1_I_C=O|sum_enthalpy_hartree,0.9858894449348108,0.924500930571244,0.22101661513187384,0
5,Ar2_v_C=O|Ar1_NBO_-O|Ar1_NBO_C2|Ar2_I_C=O|sum_enthalpy_hartree,0.9731754922607585,0.924395371581553,0.3047324861941123,0
5,Ar1_LUMO|Ar2_LUMO|Ar1_v_C=O|Ar2_NBO_-O|Ar1_I_C=O,0.9723545843183619,0.9243921799326668,0.30936019776506674,0
5,prod_homo_hartree|sum_homo_hartree|Ar1_v_C=O|Ar1_NBO_C2|Ar1_I_C=O,0.9755587759302401,0.9243296355305022,0.29088032764878285,0
