category,target,k,features,R2,Q2,RMSE,CV,equation
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_enthalpy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_enthalpy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_enthalpy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_Ar_HOMO|ar2_enthalpy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_enthalpy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_nbo_q_a,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_enthalpy_hartree|ar2_lumo_hartree|ar1_q_a|ar1_Ar_NBO_OH,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_enthalpy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_nbo_q_a,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),5,ar2_homo_hartree|ar2_enthalpy_hartree|ar2_Ar_LUMO|ar1_q_a|ar1_Ar_NBO_OH,0.7710852053541312,-0.11457511244781582,2.119618713309177,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_enthalpy_hartree|rate kobs (s-1)|ar1_q_a,0.5633979282927029,-0.1171605888043572,2.927276257200003,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_gibbs_free_energy_hartree|rate kobs (s-1)|ar1_q_a,0.5634134301540108,-0.11716244938240616,2.9272242892453213,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_Ar_polar|ar2_lumo_hartree|ar2_Ar_LUMO,0.5146574959253993,-0.11730872759028999,3.0863485985759085,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_isotropic_polarizability_au|ar2_lumo_hartree|ar2_Ar_LUMO,0.5146574959253993,-0.11730872759028999,3.0863485985759085,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
azoarene_svr_rbf_c30_eps005_scale,ln(kobs),3,ar2_scf_energy_hartree|rate kobs (s-1)|ar1_q_a,0.5634918219363514,-0.11742365770779095,2.9269614769569703,LOOCV,ln(kobs) = <nonlinear model; no closed-form linear equation>
